All,Wszystko
"Please enter an invitee name.","Wprowadź nazwę osoby zaproszonej."
"You shared the gift registry for %1 emails.","Udostępniłeś rejestr prezentów dla %1 email."
"We couldn't share the registry.","Nie można udostępnić rejestru."
Private,Prywatny
"Please enter the title.","Wpisz tytuł."
"Please enter the message.","Wpisz wiadomość."
"Please enter correct the Privacy setting.","Wprowadź poprawne ustawienia prywatności."
"We cannot specify the product.","Nie można dokładnie określić produkt."
"Please correct the  gift registry item quantity.","Proszę popraw ilość pozycji rejestru prezentu."
"Please correct the gift registry item ID.","Proszę popraw ID produktu rejestru prezentu."
"The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.","Ilość produktu ""%1"" dodanego do koszyka przekracza ustawioną ilość przez właściciela rejestru upominków. Dodana ilość została dostosowana do spełnienia pozostałych ilości %2."
"Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested.","Istniejących ilości produktu ""%1"" w koszyku zastąpiono %2 wymagana ilością."
"This product(s) is out of stock.","Ten produkt jest niedostępny na magazynie."
"Please correct the product for adding the item to the quote.","Proszę poprawić produktu do dodawania elementu do oferty."
"Please correct the item option format.","Proszę popraw format opcji produktu."
"An item option with code %1 already exists.","Opcja produktu z kodem %1 już istnieje."
New,Nowy
"Please enter the first name.","Wpisz imię."
"Please enter the last name.","Wpisz nazwisko."
"Please enter a valid email address(for example, daniel@x.com).","Proszę podać poprawny adres e-mail (np., daniel@x.com)."
"Ship to the recipient's address.","wysyłka na adres odbiorcy."
"-- All --",--Wszystkie--
"Unknown gift registry identifier","Nieznany identyfikator rejestru prezentów."
"All Forms","Wszystkie formularze"
"Registrant Name Search","Wyszukiwanie nazwy odbiorcy"
"Registrant Email Search","Wyszukiwanie adresu e-mail odbiorcy"
"Gift Registry ID Search","Wyszukiwarka ID rejestru prezentów"
Owner,Właściciel
"Created on",Utworzono
"Shipping Address","Adres wysyłki"
"New Attribute","Nowa cecha"
"Attribute Group","Grupa cech"
"Is Required","Jest wymagane"
"Is Searcheable","Jest wyszukiwalne"
"We found an attribute with this static input type already in the gift registry type. Please select a different input type.","Znaleźliśmy atrybut z tego typu statycznego wejściowe już w typie rejestru prezent. Proszę wybrać inny typ danych wejściowych."
"Show Region","Pokaż Region"
"Date Format","Format daty"
"Is Default","Jest domyślny"
"Select a shipping address from your address book or enter a new address.","Wybierz adres dostawy z książki adresowej lub wpisz nowy adres."
"Add All To Gift Registry","Dodaj wszystko do rejestru prezentów"
"Ship to registrant's address","Wyślij na adres rejestrującego"
"Use the gift registry shipping address","Użyj adresu dostawy z rejestru prezentów"
"Added On",Dodane
"Qty Fulfilled","Spełnione ilości"
"Update Gift Registry","Aktualizuj rejestr prezentów"
"This gift registry has no items.","Ten rejsetr prezentów nie ma produktów."
"Created On",Utworzono
"Manage Items","Zarządzaj produktami"
Share,Udostępnij
"You haven't created a gift registry yet.","Jeszcze nie stworzyłeś rejestru prezentów."
"Add New","Dodaj nowe"
"First Name",Imię
Sender,Nadawca
Invitee,Zaproszony
"Maximum %1 email addresses.","Maksymalnie %1 adresów e-mail."
"Add Invitee","Dodaj zaproszoną osobę"
"Gift Registry Type","Typ rejestru prezentów"
"Please select a gift registry type.","Wybierz typ rejestru prezentów."
"Last Name",Nazwisko
"Registrant Information","Informacje o rewizjach"
"Maximum %1 registrants.","Maksymalna %1 rejestrujących."
"Add Registrant",Rejestrujący
Type:,Rodzaj:
"Privacy Settings","Ustawienia prywatności"
"Gift Registry Items Updated","Zaktualizowane zawartość rejestru prezentów"
"Product Name","Nazwa produktu"
"Requested Quantity","Wymagana ilosć"
"Fulfilled Quantity","Spełniona ilosć"
"Total Fulfilled Quantity","Łącznie spełniona ilość"
"Remaining Quantity","Pozostała ilość"
Quantity:,Ilość:
"Customize and Add to Gift Registry","Dostosuj i dodaj do rejestru prezentów"
"Required Fields","Pola wymagane"
"Search Options","Opcje wyszukiwania"
"For better search results, first choose a gift registry type. By default, we search all registry types.","Dla lepszego wyszukiwania, wybierz typ rejestru prezentów. Domyślnie wyszukiwane są wszystkie typy rejestru."
"Type Specific Options","Specyficzne opcje typu"
Search,Szukaj
"Registrant Email","E-mail Rejestrującego"
"Gift Registry ID","ID rejestru prezentów"
"Search Results","Wyniki wyszukiwania"
Location,Lokalizacja
View,Zobacz
"Your search returned no results.","Brak wyników wyszukiwania."
"Please enter at least two letters of the name.","Podaj co najmniej dwie litery nazwy."
"Search By","Szukaj według"
"Please enter at least two letters.","Podaj co najmniej 2 litery."
"Unit Price","Cena jednostkowa"
"Gift Registry created at %store_name","Gift Registry created at %store_name"
"You have successfully created the new gift registry ""%registry_name"".","Pomyślnie utworzono nowy rejestr prezentów ""%registry_name""."
"Your Gift Registry Message","Twoje wiadomości rejestru prezentów."
"Now you can add products to your gift registry.","Teraz można dodać produkty do swojej listy prezentowej."
"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.","Po prostu przejdź do <a href=""%store_url""> %store_name</a> i dodaj produkty, które chcesz w twoim koszyku lub liście życzeń."
"You can then add the products to your registry from your shopping cart or wish list page.","Możesz potem dodać produkty do listy prezentowej z koszyka lub schowka."
"You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.","Można także udostępnić go znajomym i rodzinie logując się na swoje konto i przechodząc do rejestru prezentów."
"Or you can email the following link and gift registry ID to them:","Albo możesz napisać na poniższy link i rejestru upominków identyfikatora do nich:"
"Registry Location:","Lokalizacji rejestru:"
"Registry ID:","Identyfikator rejestru:"
"Gift Registry shared at %store_name","Gift Registry shared at %store_name"
"You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.","Można zobaczyć i kupić przedmioty z tego rejestru prezentowego w <a href='%account_url'>%store_name</a>."
"Gift Registry:","Rejestr prezentów:"
"Created For:","Stworzony dla:"
"You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.","Możesz utworzyć własny rejestr prezentów <a href='%account_url'>%store_name</a>  i udostępnić go dla przyjaciół i rodziny"
"Gift Registry updated at %store_name","Gift Registry updated at %store_name"
"The following items have been purchased from your gift registry ""%registry_name"":","Następujące produkty zostały zakupione z twojego rejestru prezentów ""%registry_name"":"
"You can sign in to your account to view more details about this gift registry.","Możesz zalogować się na swoje konto, aby wyświetlić więcej szczegółów o tej liście prezentowej."
"Ship to Recipient Address","Dostawa pod adres odbiorcy"
"Ship Here","Wysyłamy Tutaj"
"Recipient Address","Adres odbiorcy"
"Use gift registry shipping address","Użyj adresu dostawy z rejestru prezentów"
"The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart.","Jedynym miejscem, aby zmienić numer rejestru upominków jest strona informacji rejestru prezentów lub bezpośrednio w Twoim koszyku."
Text,Tekst
"Gift Registry Details","Szczegóły rejestru prezentów"
Role,Rola
"Event Data","Data wydarzenia"
"Event Information","Informacje o wydarzeniu"
"Event Country","Kraj wydarzenia"
"My event special","Moje specjalne zdarzenie"
"My special attribute","moje specjalne cechy"
"Gift Registry Section","Sekcja rejestru prezentów"
"General Options","Opcje ogólne"
"Enable Gift Registry","Włącz rejestr prezentów"
"Maximum Registrants","Maksymalna ilość rejestrujących"
"Owner Notification","Powiadomienie właściciela"
"Email Sender",Nadawca
"Gift Registry Sharing","Udostępnienie rejestru prezentów"
"Maximum Sent Emails Threshold","Maksymalny próg wysyłania emaili"
"Gift Registry Update","Aktualizacja rejestru prezentów"
Select,Wybierz
"Event Region Id","ID regionu wydarzenia"
"Event Region Text","Tekst regionu wydarzenia"
"Event Location","Miejsce wydarzenia"
"Gift Registry Quick Search Form","Formularz szybkiego wyszukiwania rejestru prezentów"
"Quick Search Form Types","Typ formularza szybkiego wyszukiwania"
Template,Szablon
"Default Template","Domyślny szablon"
Listed,"Na liście"
"Gift Wrapping","Opakowanie prezentu"
"Add Gift Wrapping","Dodaj opakowanie prezentu"
"Are you sure you want to delete this gift wrapping?","Jesteś pewien, że chcesz usunąć te opakowanie?"
"Edit Gift Wrapping ""%1""","Edycja pakowania prezentów ""%1"""
"New Gift Wrapping","Nowe opakowania prezentów"
"Gift Wrapping Information","informacje o pakowaniu prezentów"
"Gift Wrapping Design","Projekt opakowania prezentu"
"Please request the correct gift wrapping.","Proszę zażądać prawidłowego pakowania prezentów."
"You updated a total of %1 records.","Zaktualizowno w sumie %1 rekordów."
"Something went wrong while updating the wrapping(s) status.","Coś się zepsuło podczas aktualizowania stanu pakowania."
"You deleted the gift wrapping.","Usunąłeś pakowanie prezentów."
"Please select items.","Prosimy wybrać produkty."
"You have not uploaded the image.","Obraz nie został wgrany."
"You saved the gift wrapping.","Opakowanie produktu zostało zapisane."
"We can't save the gift wrapping right now.","Nie można zapisać teraz opakowania prezentu."
"We can't update the image right now.","Nie można zapisać teraz obrazu."
"Excluding Tax","Bez podatku"
"Including Tax","Z podatkiem"
"Including and Excluding Tax","Zawierające i niezawierające podatek"
"The image content must be valid data.","Zawartość obrazu musi być poprawnymi danymi."
"The image extension ""%1"" not allowed.","Rozszerzenie obrazu ""%1"" nie jest dozwolone."
"Provided image name contains forbidden characters.","Podana nazwa obrazu zawiera niedozwolone znaki."
"The image MIME type is not valid or not supported.","Typ obrazu MIME nie jest poprawny lub nie jest obsługiwany."
"Gift Wrapping with specified ID ""%1"" not found.","Nie znaleziono opakowania prezentu ze specyficznym ID ""%1""."
"Please enter valid currency code: %1","Podaj prawidłowy kod waluty: %1"
"Unable to remove gift wrapping %1","Nie można usunąć pakowania %1"
"Printed Card","Karty drukowane"
"Leave a box blank if you don't want to add gift wrapping for whole order.","Pozostaw pole puste, jeśli nie chcesz dodawać pakowania prezentów dla całego zamówienia."
"Price Excl. Tax","Cena bez podatku"
"Price Incl. Tax","Cena z podatkiem"
"Send Gift Receipt","Wyślij pokwitowanie za prezent"
"Add Printed Card","Dodawanie karty drukowanej"
"Gift Wrapping for the Entire Order","Opakowanie na prezent dla całego zamówienia"
"Other Gift Options","Inne opcje podarunkowe"
"Gift wrapping","Opakowanie prezentu"
"Printed card","Karty drukowane"
"Gift receipt","Otrzymanie prezentu"
"Pick a paper of your choice (optional)","Wybierz zapakowanie w papier (opcjonalne)"
"No image","Brak obrazka"
"Gift Receipt","Otrzymanie prezentu"
"Allow Gift Wrapping on Order Level","Zezwól na opakowania na prezent na poziomie zamówienia"
"Allow Gift Wrapping for Order Items","Umżżiwia zapakowanie na prezent zamówionego produktu"
"Allow Gift Receipt","Umożliwia otrzymanie pokwitowania za prezent"
"Allow Printed Card","Zezwól na drukowane karty"
"Default Price for Printed Card","Domyślna cena drukowanej karty"
"Tax Class for Gift Options","Klasa podatku dla opcji prezent"
"Display Gift Wrapping Prices","Wyświetl ceny pakowania prezentów"
"Display Printed Card Prices","Wyświetlaj ceny kart drukowanych"
"Are you sure you want to delete the selected gift wrappings?","Czy na pewno chcesz usunąć wybrane opakowania na prezent?"
"Change Status","Zmień status"
"Gift Wrap Design","Projekt opakowania prezentu"
"Google Analytics Enhanced Ecommerce Settings","Google Analytics ulepszenia e-commerce ustawienia"
"Send to Google","Wyślij do Google"
Creative,Kreatywne
"Universal Analytics","Universal Analytics"
"Google Tag Manager","Zarządzanie tagami Google"
"Google Analytics","Google Analytics"
"Account type","Typ konta"
"Container Id","ID kontenera"
"List property for the catalog page","Lista właściwości strony katalogu"
"List property for the cross-sell block","Blok Listy właściwości sprzedaży"
"List property for the up-sell block","Bloku listy właściwości up-sell"
"List property for the related products block","Blok lista właściwości powiązanych produktów"
